time,value
1752851146.344346,-1
1752851146.4474442,0
1752851146.5507448,1
1752851146.6537952,1
1752851146.75687,-1
1752851146.8599749,-1
1752851146.963226,0
1752851147.0663788,1
1752851147.169518,1
1752851147.2726574,-1
1752851147.3757827,-1
1752851147.4788766,0
1752851147.5820022,1
1752851147.6853251,1
1752851147.7884018,-1
1752851147.8915176,-1
1752851147.9946477,-1
1752851148.0977554,1
1752851148.2008786,1
1752851148.3039956,1
1752851148.407079,-1
1752851148.5100822,-2
1752851148.6134508,0
1752851148.7165377,1
1752851148.8198297,193
1752851148.922953,369
1752851149.0260494,559
1752851149.1291535,529
1752851149.2322443,532
1752851149.3353772,518
1752851149.4388275,516
1752851149.5418525,461
1752851149.6449032,587
1752851149.7479808,366
1752851149.851183,1
1752851149.9542718,-1
1752851150.057428,-1
1752851150.160542,-1
1752851150.2636104,0
1752851150.3667262,1
1752851150.4697487,0
1752851150.5728776,-1
1752851150.6760738,-2
1752851150.77932,1
1752851150.882468,1
1752851150.9859903,49
1752851151.0893,52
1752851151.1924193,115
1752851151.295643,0
1752851151.3990467,1
1752851151.502361,1
1752851151.6057153,-1
1752851151.7089093,-1
1752851151.8120863,0
1752851151.9151902,1
1752851152.0183928,1
1752851152.1215887,-1
1752851152.2248292,-1
1752851152.3280663,0
1752851152.4311945,1
1752851152.534404,1
1752851152.6376626,74
1752851152.7408485,0
1752851152.843966,4
1752851152.947153,72
1752851153.0504115,1
1752851153.1537488,0
1752851153.256853,-1
1752851153.3599024,-1
1752851153.4629922,0
1752851153.5661092,1
1752851153.6692297,0
1752851153.7723231,-1
1752851153.8754323,-1
1752851153.9785154,0
1752851154.081666,1
1752851154.1848261,1
1752851154.2879694,-1
1752851154.391001,-1
1752851154.4941044,0
1752851154.597505,1
1752851154.700616,1
1752851154.803813,0
1752851154.9069397,-1
1752851155.0100892,-1
1752851155.113167,1
1752851155.216537,1
1752851155.319667,0
1752851155.4228227,-1
1752851155.5260797,-1
1752851155.6292198,0
1752851155.7323067,1
1752851155.8353949,1
1752851155.9383965,-1
1752851156.0417979,-1
1752851156.1449091,0
1752851156.248013,1
1752851156.3513072,1
1752851156.4544837,-1
1752851156.5575867,-1
1752851156.6607509,0
1752851156.7638996,1
1752851156.8672333,1
1752851156.970323,0
1752851157.0737374,-1
1752851157.1768982,0
1752851157.2802908,1
1752851157.3834522,1
1752851157.4864953,0
1752851157.5896885,-1
1752851157.692809,-1
1752851157.796151,0
1752851157.8993115,1
1752851158.0024242,0
1752851158.1055949,-1
1752851158.208629,-1
1752851158.3118153,0
1752851158.4149668,1
1752851158.5180235,1
1752851158.6211698,-1
1752851158.7242851,-1
1752851158.8274064,0
1752851158.9304857,1
1752851159.0335531,1
1752851159.1367025,0
1752851159.2397733,-1
1752851159.3429503,-1
1752851159.4460256,0
1752851159.5490906,1
1752851159.652228,0
1752851159.7553132,-1
1752851159.8586884,-1
1752851159.9617147,0
1752851160.064832,1
1752851160.1680067,0
1752851160.2713714,-1
1752851160.3744953,-1
1752851160.4775949,1
1752851160.5810275,1
1752851160.6841295,1
1752851160.7872088,-1
1752851160.8902833,-1
1752851160.9934099,0
1752851161.0964677,1
1752851161.1994853,1
1752851161.3026488,0
1752851161.405713,-1
1752851161.5087442,-1
1752851161.6119213,0
1752851161.7149987,1
1752851161.8180761,1
1752851161.9211392,-1
1752851162.024239,-1
1752851162.1273704,0
1752851162.2303765,1
1752851162.3335576,1
1752851162.4366348,-1
1752851162.5400088,-1
1752851162.6431494,0
1752851162.7462296,1
1752851162.8494835,1
1752851162.9525092,0
1752851163.055874,-1
1752851163.159008,-1
1752851163.2620254,0
1752851163.365189,1
1752851163.4682553,1
1752851163.5713358,-1
1752851163.6744766,-1
1752851163.7778187,0
1752851163.8809083,1
1752851163.9840033,1
1752851164.0873933,-1
1752851164.190656,-1
1752851164.2940457,0
1752851164.3971522,1
1752851164.5005667,1
1752851164.6036935,-1
1752851164.7070267,-1
1752851164.8103206,0
1752851164.9140265,1
1752851165.017217,1
1752851165.12059,-1
1752851165.2237456,-1
1752851165.3375516,-1
1752851165.4406908,-1
1752851165.5441005,0
1752851165.647302,1
1752851165.750383,1
1752851165.8538165,-1
1752851165.9569254,-1
1752851166.0603905,0
1752851166.1637077,1
1752851166.267263,1
1752851166.370321,-1
1752851166.4735851,-1
1752851166.5766973,0
1752851166.6798787,1
1752851166.7832131,1
1752851166.8863122,0
1752851166.989693,-1
1752851167.0927553,-1
1752851167.1958978,0
1752851167.2992613,1
1752851167.402367,0
1752851167.5057623,-1
1752851167.608908,-1
1752851167.7121968,0
1752851167.8152761,1
1752851167.9186575,1
1752851168.0217876,-1
1752851168.1250682,-1
1752851168.2281682,0
1752851168.3315492,1
1752851168.4346855,1
1752851168.5379698,-1
1752851168.641124,-1
1752851168.7444687,0
1752851168.8475533,1
1752851168.9509225,1
1752851169.054024,-1
1752851169.1573844,-1
1752851169.2604966,0
1752851169.3639882,1
1752851169.4671748,1
1752851169.5705116,-1
1752851169.673753,-1
1752851169.7768583,0
1752851169.880198,0
1752851169.983354,1
1752851170.0866926,0
1752851170.1898232,-1
1752851170.292954,-1
1752851170.3960466,0
1752851170.4991486,1
1752851170.6021996,0
1752851170.705289,-1
1752851170.8084052,-1
1752851170.91146,0
1752851171.0144827,1
1752851171.1176417,1
1752851171.2209678,0
1752851171.3240159,-1
1752851171.4273565,-1
1752851171.5305104,0
1752851171.6339018,1
1752851171.736997,-1
1752851171.8403008,-1
1752851171.9433904,-1
1752851172.046674,0
1752851172.149747,1
1752851172.2530727,0
1752851172.356204,-1
1752851172.4595451,-1
1752851172.5627043,0
1752851172.666084,1
1752851172.769179,1
1752851172.8724282,-1
1752851172.9755254,-1
1752851173.0789003,0
1752851173.1820593,1
1752851173.2854023,1
1752851173.3884916,-1
1752851173.491869,-1
1752851173.5949996,0
1752851173.6980429,1
1752851173.8013813,1
1752851173.9047737,0
1752851174.007823,-1
1752851174.1112278,0
1752851174.2143118,0
1752851174.3174064,1
1752851174.4207516,-1
1752851174.5239034,-1
1752851174.6270447,-1
1752851174.7303808,0
1752851174.833524,1
1752851174.936828,1
1752851175.039889,-1
1752851175.1431706,-2
1752851175.246289,0
1752851175.3494928,1
1752851175.4530094,1
1752851175.556245,-1
1752851175.6594324,-1
1752851175.7626402,0
1752851175.8656814,1
1752851175.968919,1
1752851176.0720365,0
1752851176.175176,-1
1752851176.278426,0
1752851176.3815565,1
1752851176.484786,1
1752851176.587922,0
1752851176.691071,-1
1752851176.79419,-1
1752851176.8973875,0
1752851177.0005028,1
1752851177.103776,1
1752851177.2069197,-1
1752851177.3099947,0
1752851177.413115,0
1752851177.5163717,1
1752851177.6195188,1
1752851177.7227368,0
1752851177.825832,-1
1752851177.9291074,-1
1752851178.032214,0
1752851178.1354597,1
1752851178.2386,-1
